iter	MultiClass
0	1.087462425
1	1.073876217
2	1.061275401
3	1.048729133
4	1.039244125
5	1.02974148
6	1.016342363
7	1.004646429
8	0.9931532784
9	0.9850442473
10	0.9748458981
11	0.9647387963
12	0.9541809019
13	0.9468260169
14	0.9370799238
15	0.9285109159
16	0.9206609489
17	0.9132495125
18	0.9076630239
19	0.9007326563
20	0.8951916548
21	0.890137609
22	0.8850410891
23	0.8785092341
24	0.8721188324
25	0.8666794
26	0.8613549322
27	0.8586056503
28	0.8533021992
29	0.8507621726
30	0.8463825344
31	0.8424696003
32	0.838064484
33	0.833181566
34	0.8296744627
35	0.8242852972
36	0.819673092
37	0.8174862968
38	0.8133412841
39	0.8102933597
40	0.8063609895
41	0.8023500781
42	0.7975047368
43	0.7944979565
44	0.7912433832
45	0.7894096899
46	0.7864441211
47	0.7843266748
48	0.7808799997
49	0.7777635175
50	0.7751618935
51	0.7713974413
52	0.7680329618
53	0.765870738
54	0.7613062489
55	0.7574856307
56	0.7553039093
57	0.7517701803
58	0.7486031798
59	0.7459402297
60	0.7435341853
61	0.7414818194
62	0.7375280807
63	0.7347155938
64	0.7331095843
65	0.7318073516
66	0.728914952
67	0.7266151385
68	0.724342468
69	0.7211228215
70	0.7185722222
71	0.715791516
72	0.713402662
73	0.7110349512
74	0.7091415459
75	0.7065522317
76	0.7040081652
77	0.7010254921
78	0.6983138204
79	0.6970885461
80	0.6947023016
81	0.6925261152
82	0.6916158888
83	0.6896311319
84	0.6884032369
85	0.687113363
86	0.6858759231
87	0.684162388
88	0.682740983
89	0.6807684161
90	0.678536956
91	0.6768397966
92	0.6752794014
93	0.6740154941
94	0.6734114899
95	0.6710177755
96	0.6693943515
97	0.6677733738
98	0.6656480656
99	0.6643647292
100	0.6634735984
101	0.6627831391
102	0.6617584886
103	0.6603678578
104	0.6588032787
105	0.6573059283
106	0.6552488881
107	0.6534193744
108	0.6525625015
109	0.6506942831
110	0.6493742258
111	0.6479998081
112	0.6468632607
113	0.6457386472
114	0.6438525843
115	0.6430642565
116	0.6417055902
117	0.6401576429
118	0.6390262967
119	0.6371461071
120	0.6358299118
121	0.6347983346
122	0.6338652502
123	0.6331094417
124	0.6324051258
125	0.6303013238
126	0.6296648497
127	0.6278687937
128	0.6276204289
129	0.6271801277
130	0.6260374613
131	0.6240534095
132	0.6231494915
133	0.6216503209
134	0.6203651849
135	0.6195401678
136	0.6189740057
137	0.6175600795
138	0.6167975215
139	0.61615561
140	0.6157298139
141	0.6148117953
142	0.6131991239
143	0.6124455211
144	0.6119043364
145	0.6110935805
146	0.6101408075
147	0.6094222821
148	0.6083840186
149	0.607590626
150	0.6064811175
151	0.6054894241
152	0.6038869468
153	0.6035145787
154	0.6023856448
155	0.6016231638
156	0.6001061911
157	0.5998390208
158	0.5990176883
159	0.5982029161
160	0.5979325891
161	0.5970963096
162	0.5960436617
163	0.5955103566
164	0.5945275863
165	0.5938895158
166	0.5932124619
167	0.5919010391
168	0.5910328835
169	0.5903268862
170	0.5895564546
171	0.5890867138
172	0.5880327116
173	0.5873215447
174	0.586745244
175	0.5856891635
176	0.5851838421
177	0.5842340608
178	0.5835776764
179	0.5827324957
180	0.5819705831
181	0.5817212043
182	0.5814461317
183	0.5806342853
184	0.5801559321
185	0.5794619123
186	0.5786712484
187	0.5777288677
188	0.5770026422
189	0.5764564159
190	0.575627359
191	0.5751919901
192	0.574290097
193	0.5728945279
194	0.5718731696
195	0.5713257864
196	0.5701439049
197	0.5695767859
198	0.5686625786
199	0.5683689986
