iter	Passed	Remaining
0	140	27941
1	142	14112
2	144	9467
3	146	7178
4	148	5787
5	150	4870
6	152	4210
7	155	3735
8	157	3348
9	160	3042
10	161	2782
11	163	2562
12	165	2378
13	166	2216
14	168	2078
15	170	1960
16	172	1858
17	174	1764
18	176	1678
19	178	1602
20	179	1531
21	181	1468
22	183	1410
23	184	1356
24	186	1307
25	188	1260
26	190	1217
27	191	1179
28	193	1141
29	195	1106
30	196	1073
31	199	1048
32	201	1019
33	203	991
34	204	965
35	206	940
36	208	917
37	209	894
38	211	874
39	213	853
40	214	833
41	216	816
42	218	798
43	220	781
44	222	765
45	223	749
46	225	734
47	227	719
48	228	704
49	230	691
50	231	677
51	233	664
52	235	652
53	236	640
54	238	628
55	240	617
56	241	606
57	243	595
58	245	585
59	246	575
60	248	566
61	250	557
62	251	547
63	253	538
64	255	530
65	257	521
66	258	513
67	260	505
68	262	497
69	264	491
70	266	484
71	268	476
72	269	469
73	271	462
74	272	454
75	273	446
76	274	438
77	276	431
78	277	424
79	278	417
80	279	410
81	280	403
82	281	397
83	283	391
84	284	384
85	286	379
86	287	373
87	288	367
88	289	361
89	290	354
90	291	349
91	292	343
92	293	337
93	294	331
94	295	326
95	296	320
96	297	315
97	298	310
98	299	305
99	300	300
100	302	296
101	303	291
102	305	287
103	307	283
104	308	279
105	310	275
106	312	271
107	313	267
108	315	263
109	316	259
110	317	254
111	319	250
112	320	246
113	322	242
114	323	239
115	324	235
116	326	231
117	327	227
118	329	224
119	330	220
120	332	216
121	333	213
122	334	209
123	336	206
124	338	202
125	339	199
126	341	196
127	343	192
128	344	189
129	346	186
130	347	183
131	349	179
132	350	176
133	352	173
134	353	170
135	355	167
136	357	164
137	358	161
138	360	158
139	361	155
140	362	151
141	364	148
142	366	146
143	367	143
144	369	140
145	371	137
146	372	134
147	373	131
148	375	128
149	376	125
150	377	122
151	379	119
152	380	116
153	382	114
154	383	111
155	385	108
156	386	105
157	388	103
158	390	100
159	391	97
160	393	95
161	395	92
162	396	90
163	398	87
164	399	84
165	400	82
166	402	79
167	403	76
168	405	74
169	406	71
170	407	69
171	408	66
172	410	64
173	411	61
174	412	58
175	414	56
176	415	54
177	417	51
178	418	49
179	419	46
180	420	44
181	422	41
182	423	39
183	425	36
184	426	34
185	428	32
186	429	29
187	430	27
188	432	25
189	433	22
190	434	20
191	436	18
192	437	15
193	439	13
194	440	11
195	442	9
196	443	6
197	445	4
198	447	2
199	448	0
